weather,feature,modality,frames,sequences,centroid_norm,centroid_L2_from_normal,centroid_cos_from_normal,centroid_cos_distance_from_normal,frame_mean_rms_spread,mean_within_frame_scatter
overcast,unique,LiDAR,383,2,17.2613660978732,2.1240813630569235,0.9926917173581219,0.0073082826418781055,1.4959194217894525,53.56930923461914
overcast,unique,4D Radar,383,2,19.95466304612479,0.3043366322461217,0.9998914759773168,0.0001085240226832429,1.462513769545422,27.49329376220703
fog,raw,Camera,1049,6,14.033340277536926,0.7932181519885583,0.9984030891998766,0.0015969108001233634,2.2282564990434763,4.348471164703369
fog,raw,LiDAR,1049,6,13.180669281236844,2.813616782327446,0.9774502590226382,0.022549740977361843,3.396914457943783,45.56377410888672
fog,raw,4D Radar,1049,6,13.842128193211305,1.5402151080767457,0.9945240317413095,0.005475968258690456,3.1598132533961065,36.2294921875
fog,common,Camera,1049,6,25.66658560295998,0.02585005923277324,0.9999994929830553,5.070169446508288e-07,0.08746030025791615,0.004889654461294413
fog,common,LiDAR,1049,6,21.302077201483474,0.7292655292121601,0.9994861479245633,0.0005138520754367493,1.05625694635822,37.09783935546875
fog,common,4D Radar,1049,6,23.65970524259519,1.2529229547897671,0.9988080554676014,0.00119194453239857,1.8197505522523774,25.7757568359375
fog,unique,Camera,1049,6,24.485283350389977,0.034190828604168895,0.9999990255841018,9.74415898191694e-07,0.17283416790834918,0.0182182639837265
fog,unique,LiDAR,1049,6,15.936141152013393,4.1452640654802835,0.9689076357409466,0.031092364259053373,3.376066942813147,82.969970703125
fog,unique,4D Radar,1049,6,20.061336072573734,0.8787139389623447,0.9990404060181408,0.0009595939818591859,1.5803648370562373,24.61476707458496
rain,raw,Camera,1317,8,14.078372216037586,0.47916782534729957,0.9994232712134119,0.0005767287865880988,1.8649317746469964,4.446132659912109
rain,raw,LiDAR,1317,8,13.001747601227123,0.7166569945781992,0.9987637346862004,0.0012362653137996116,3.0484274065036887,53.7580451965332
rain,raw,4D Radar,1317,8,14.310823592245459,0.2640261107499347,0.9998302287848989,0.00016977121510108883,2.20813440859997,27.402006149291992
rain,common,Camera,1317,8,25.66661134310933,0.013746415215152838,0.9999998567615208,1.4323847918884525e-07,0.055394283324464756,0.005411177407950163
rain,common,LiDAR,1317,8,21.461584787666613,0.14064206528287554,0.9999865481507206,1.3451849279366712e-05,0.7217199016528648,33.15180587768555
rain,common,4D Radar,1317,8,24.052728820468612,0.11492285493641037,0.9999922279159912,7.772084008816904e-06,1.34200389932639,14.831067085266113
rain,unique,Camera,1317,8,24.484085205576182,0.022412881531459875,0.9999995811423189,4.188576810948419e-07,0.11989872348817057,0.018260478973388672
rain,unique,LiDAR,1317,8,16.415332813539695,1.3956479664973904,0.9966204225500318,0.0033795774499681963,2.4736865445290745,71.79671478271484
rain,unique,4D Radar,1317,8,19.954932368856213,0.2082997048691453,0.9999530087772842,4.6991222715786485e-05,1.9534497472469476,25.86117172241211
sleet,raw,Camera,1106,7,14.05863013381863,1.7011592640090072,0.9926691852280503,0.007330814771949745,2.4968942365045765,1.8969920873641968
sleet,raw,LiDAR,1106,7,13.596359580277646,3.660953969182091,0.9631794357032777,0.03682056429672231,3.8481640297458966,30.750417709350586
sleet,raw,4D Radar,1106,7,14.208936655430925,2.358527970405596,0.9863250872568848,0.013674912743115164,2.807995403697905,28.11541748046875
sleet,common,Camera,1106,7,25.66476990959332,0.05004420884384638,0.9999981003875837,1.8996124162562467e-06,0.06987636838840876,0.002484972821548581
