weather,feature,pair,frames,mean,min,max,p05,p25,median,p75,p95
rain,raw,Camera–4D Radar,1317,-0.37742503891411205,-0.4266899824142456,-0.3267565071582794,-0.39918334484100343,-0.38655441999435425,-0.37760046124458313,-0.3691563010215759,-0.35440972447395325
rain,raw,LiDAR–4D Radar,1317,0.4102313621033297,0.2863573133945465,0.4675181210041046,0.3769051551818848,0.3983227014541626,0.41019415855407715,0.4223111569881439,0.44472602605819705
rain,common,Camera–LiDAR,1317,0.9430989106224628,0.9078449606895447,0.9734148979187012,0.9208354830741883,0.9378868937492371,0.9444829225540161,0.9495964646339417,0.9596113562583923
rain,common,Camera–4D Radar,1317,0.9565384106013298,0.9186732172966003,0.9741159677505493,0.9442383527755738,0.9531806707382202,0.9572811126708984,0.9607027173042297,0.9662709832191467
rain,common,LiDAR–4D Radar,1317,0.958636915584179,0.8571134805679321,0.9858502745628357,0.9369703888893127,0.9520120620727539,0.9604616165161133,0.9665523171424866,0.9742611169815064
rain,unique,Camera–LiDAR,1317,0.38547460824228547,0.1757848858833313,0.6314905881881714,0.2576620399951935,0.3324592709541321,0.3927501440048218,0.43494972586631775,0.5087072610855102
rain,unique,Camera–4D Radar,1317,0.6510805012877456,0.5562619566917419,0.6917977333068848,0.6184313178062439,0.641327977180481,0.6549121737480164,0.6630157232284546,0.6737393498420715
rain,unique,LiDAR–4D Radar,1317,0.376677436138883,0.14484183490276337,0.6007469296455383,0.2555580139160156,0.3262328505516052,0.38294681906700134,0.42678165435791016,0.48913552761077883
sleet,raw,Camera–LiDAR,1106,-0.0086300606676292,-0.10045494139194489,0.062452543526887894,-0.03648143354803324,-0.020157238468527794,-0.009376367554068565,0.0009711799211800098,0.02337019657716155
sleet,raw,Camera–4D Radar,1106,-0.3763131402284715,-0.4289691746234894,-0.29271209239959717,-0.40048786252737045,-0.38774992525577545,-0.3788120448589325,-0.36649326235055923,-0.3458789885044098
sleet,raw,LiDAR–4D Radar,1106,0.40149195419513295,0.30888402462005615,0.4485681653022766,0.35443899035453796,0.3896084502339363,0.4056015908718109,0.4178466349840164,0.4315840005874634
sleet,common,Camera–LiDAR,1106,0.9583506492550938,0.88810795545578,0.9782646894454956,0.9315919429063797,0.9478224962949753,0.961613118648529,0.9713333398103714,0.9749275594949722
sleet,common,Camera–4D Radar,1106,0.947766770236531,0.8558562397956848,0.9757471084594727,0.9092386960983276,0.9363292008638382,0.9510340094566345,0.9628284126520157,0.9719303995370865
sleet,common,LiDAR–4D Radar,1106,0.9638147937238324,0.8511098027229309,0.9895170331001282,0.917839840054512,0.9595711082220078,0.9710621535778046,0.9764447063207626,0.9818792194128036
sleet,unique,Camera–LiDAR,1106,0.5111858039744077,0.08366764336824417,0.827186107635498,0.13388245925307274,0.3461517468094826,0.548349916934967,0.691959410905838,0.8222425878047943
sleet,unique,Camera–4D Radar,1106,0.6529389121864415,0.4961654543876648,0.6890915036201477,0.5950111299753189,0.6495365798473358,0.658903032541275,0.6675727665424347,0.6793595552444458
sleet,unique,LiDAR–4D Radar,1106,0.48395621594021376,0.09490907937288284,0.7573812007904053,0.1459832414984703,0.3405759632587433,0.5248734951019287,0.6434308886528015,0.7448993474245071
lightsnow,raw,Camera–LiDAR,803,-0.024098181150369272,-0.07547223567962646,0.04986102133989334,-0.04760219305753708,-0.033129120245575905,-0.02364182099699974,-0.01577156689018011,-0.0017129432060755793
lightsnow,raw,Camera–4D Radar,803,-0.3889010920471153,-0.42899179458618164,-0.3300139009952545,-0.40958083271980283,-0.3955017179250717,-0.38986945152282715,-0.383571982383728,-0.3667416274547577
lightsnow,raw,LiDAR–4D Radar,803,0.3940491847053708,0.29054614901542664,0.4523245394229889,0.34061817526817323,0.37698403000831604,0.3992030620574951,0.4163660556077957,0.427347207069397
lightsnow,common,Camera–LiDAR,803,0.946993930031027,0.8949934244155884,0.9752708077430725,0.919794750213623,0.9377597570419312,0.9479547739028931,0.9578007459640503,0.9697722315788269
lightsnow,common,Camera–4D Radar,803,0.9582034480081846,0.8834824562072754,0.9771859049797058,0.9362967669963836,0.9557013213634491,0.9596303701400757,0.9642546772956848,0.9734249651432038
lightsnow,common,LiDAR–4D Radar,803,0.9622441280081144,0.8803112506866455,0.9862744212150574,0.9311711728572846,0.9560389518737793,0.9647470116615295,0.9720076620578766,0.9810192286968231
lightsnow,unique,Camera–LiDAR,803,0.4787089827367259,0.11161573976278305,0.7879241704940796,0.2576967716217041,0.3689669519662857,0.50611412525177,0.5786714851856232,0.647094601392746
lightsnow,unique,Camera–4D Radar,803,0.6589512264594937,0.5631535649299622,0.6923747658729553,0.6331788063049316,0.651556670665741,0.6598520278930664,0.6679719090461731,0.6832294881343841
lightsnow,unique,LiDAR–4D Radar,803,0.46429409732483096,0.09807473421096802,0.7268947958946228,0.2552209794521332,0.36776523292064667,0.49085426330566406,0.5596389770507812,0.6202650547027587
heavysnow,raw,Camera–LiDAR,1098,-0.027872070996286916,-0.07826777547597885,0.02462887018918991,-0.06311668120324612,-0.040284247137606144,-0.027143433690071106,-0.014825574355199933,0.003396681591402635
heavysnow,raw,Camera–4D Radar,1098,-0.38371066879379295,-0.420002818107605,-0.30033132433891296,-0.4062669023871422,-0.3967756927013397,-0.3870207816362381,-0.37492581456899643,-0.3478078991174698
heavysnow,raw,LiDAR–4D Radar,1098,0.40668337410807825,0.30771392583847046,0.45818623900413513,0.36334846168756485,0.3940107226371765,0.4104293882846832,0.42265938967466354,0.43804548531770704
heavysnow,common,Camera–LiDAR,1098,0.9525074622778728,0.9096038341522217,0.9788035750389099,0.930312517285347,0.9385314285755157,0.9515745937824249,0.9688466787338257,0.9749246209859848
heavysnow,common,Camera–4D Radar,1098,0.9481222553005635,0.8242355585098267,0.9735561013221741,0.9060837000608444,0.9415388703346252,0.9552404582500458,0.9619864821434021,0.9670337766408921
heavysnow,common,LiDAR–4D Radar,1098,0.9601347403013858,0.796199381351471,0.9861699342727661,0.9141470700502395,0.9568351954221725,0.9662471413612366,0.9727641046047211,0.9806318342685699
heavysnow,unique,Camera–LiDAR,1098,0.49538956472619633,0.1932130604982376,0.8246892690658569,0.25322570502758024,0.33101218938827515,0.47172796726226807,0.6244655251502991,0.8163520157337188
heavysnow,unique,Camera–4D Radar,1098,0.6458043551075872,0.5163196325302124,0.687324583530426,0.5841578245162964,0.6351241171360016,0.6523823440074921,0.6644439697265625,0.6765310108661652
heavysnow,unique,LiDAR–4D Radar,1098,0.4692814260965488,0.18251757323741913,0.7553937435150146,0.2578129172325134,0.3275265693664551,0.4538400322198868,0.5814745128154755,0.7362551152706146
