method,condition,cls,metric,iou,gt_objects,has_gt,ap,strong_minus_method
ASF_local,lightsnow,sed,bev,0.7,1360,True,63.822561812205414,3.6148459059933984
ASF_local,lightsnow,sed,bev,0.5,1360,True,89.73558174409678,-2.2664432817683036
ASF_local,lightsnow,sed,bev,0.3,1360,True,92.66930336866905,-2.539001203260483
ASF_local,lightsnow,bus,3d,0.7,540,True,36.40593203942235,12.069861327197529
ASF_local,lightsnow,bus,3d,0.5,540,True,70.58349954940184,4.508360729111445
ASF_local,lightsnow,bus,3d,0.3,540,True,84.74680928772707,4.816692027300974
ASF_local,lightsnow,bus,bev,0.7,540,True,71.83981792999182,2.354281326337329
ASF_local,lightsnow,bus,bev,0.5,540,True,88.46390878075138,0.6733403666415967
ASF_local,lightsnow,bus,bev,0.3,540,True,94.56165843126459,0.0795541175622958
ASF_local,heavysnow,sed,3d,0.7,1611,True,16.955014287280218,1.2302181997637014
ASF_local,heavysnow,sed,3d,0.5,1611,True,51.244022928102616,-0.7586989593955735
ASF_local,heavysnow,sed,3d,0.3,1611,True,63.35743396831619,0.21610888375227688
ASF_local,heavysnow,sed,bev,0.7,1611,True,39.948161051466954,3.298643713237304
ASF_local,heavysnow,sed,bev,0.5,1611,True,61.098747959649224,0.23512724204831414
ASF_local,heavysnow,sed,bev,0.3,1611,True,65.62889482551483,0.24493340572020372
ASF_local,heavysnow,bus,3d,0.7,1137,True,7.6877267451609095,6.2539970495020105
ASF_local,heavysnow,bus,3d,0.5,1137,True,32.27635498220153,7.092039912062937
ASF_local,heavysnow,bus,3d,0.3,1137,True,68.01947920696855,4.321759294698623
ASF_local,heavysnow,bus,bev,0.7,1137,True,27.32313037180729,9.602419878043872
ASF_local,heavysnow,bus,bev,0.5,1137,True,75.00049058059403,3.9640703407369244
ASF_local,heavysnow,bus,bev,0.3,1137,True,87.2632736477606,2.2407485788423855
ASF_local,rain,sed,3d,0.7,5978,True,15.942207950344839,1.5516803985121381
ASF_local,rain,sed,3d,0.5,5978,True,45.95502883635388,2.3438198572935818
ASF_local,rain,sed,3d,0.3,5978,True,65.8005703192078,2.3090826345202515
ASF_local,rain,sed,bev,0.7,5978,True,42.317882238243534,2.582137202780814
ASF_local,rain,sed,bev,0.5,5978,True,61.573334333854525,2.482243443623368
ASF_local,rain,sed,bev,0.3,5978,True,68.79955911248373,0.04317188833999808
ASF_local,rain,bus,3d,0.7,120,True,0.031269543464665414,0.8691605033068449
ASF_local,rain,bus,3d,0.5,120,True,1.941019686535754,3.1106205224885706
ASF_local,rain,bus,3d,0.3,120,True,3.588462545198038,6.494672171979495
ASF_local,rain,bus,bev,0.7,120,True,0.9480416365257365,2.703209100732703
ASF_local,rain,bus,bev,0.5,120,True,3.588462545198038,4.76782127948732
ASF_local,rain,bus,bev,0.3,120,True,3.588462545198038,6.494672171979495
ASF_local,sleet,sed,3d,0.7,1622,True,6.588485008792176,0.7321112557319447
ASF_local,sleet,sed,3d,0.5,1622,True,44.83153308654974,4.297444986064569
ASF_local,sleet,sed,3d,0.3,1622,True,70.81368225255618,1.7028881921066983
ASF_local,sleet,sed,bev,0.7,1622,True,39.37114092824035,2.6417596486100834
ASF_local,sleet,sed,bev,0.5,1622,True,64.47539151771483,-0.6290988479613375
ASF_local,sleet,sed,bev,0.3,1622,True,76.30969218883122,-0.6997742090744907
ASF_local,sleet,bus,3d,0.7,1132,True,6.293690283586188,3.0428290950387664
ASF_local,sleet,bus,3d,0.5,1132,True,30.287374047732424,8.191362049038883
ASF_local,sleet,bus,3d,0.3,1132,True,50.784690759432614,6.687171633284088
ASF_local,sleet,bus,bev,0.7,1132,True,14.813892344690856,7.862183361697344
ASF_local,sleet,bus,bev,0.5,1132,True,41.51519195008816,6.799110327944959
ASF_local,sleet,bus,bev,0.3,1132,True,54.52130766405651,3.556814155135335
ASF_local,overcast,sed,3d,0.7,1107,True,6.956697247520031,1.767618967646575
ASF_local,overcast,sed,3d,0.5,1107,True,57.16106301492404,2.4625556764696483
ASF_local,overcast,sed,3d,0.3,1107,True,82.1483720659337,2.1555123384441686
ASF_local,overcast,sed,bev,0.7,1107,True,45.22636158935172,0.2376737029212137
ASF_local,overcast,sed,bev,0.5,1107,True,81.2540678739485,1.0516146996798597
ASF_local,overcast,sed,bev,0.3,1107,True,89.08616305110986,2.300960219466319
ASF_local,overcast,bus,3d,0.7,151,True,8.01389841207649,-2.7628964110386915
ASF_local,overcast,bus,3d,0.5,151,True,46.68320778018338,2.971661177028615
ASF_local,overcast,bus,3d,0.3,151,True,65.31096258962509,8.510342493372917
ASF_local,overcast,bus,bev,0.7,151,True,18.148728117385467,0.567088586236121
ASF_local,overcast,bus,bev,0.5,151,True,54.10993867829092,8.195216722322499
ASF_local,overcast,bus,bev,0.3,151,True,69.13183672643086,4.889185203386461
ASF_local,fog,sed,3d,0.7,1947,True,39.419604300186684,4.098438339914274
ASF_local,fog,sed,3d,0.5,1947,True,79.8858922870524,0.4155917563009268
ASF_local,fog,sed,3d,0.3,1947,True,92.0877228434696,2.368045455286236
ASF_local,fog,sed,bev,0.7,1947,True,78.26395764080128,3.9083882135025334
ASF_local,fog,sed,bev,0.5,1947,True,94.68919825113366,-0.02131494336981632
ASF_local,fog,sed,bev,0.3,1947,True,94.83753967819452,0.0017047293570016109
ASF_local,fog,bus,3d,0.7,0,False,0.0,0.0
ASF_local,fog,bus,3d,0.5,0,False,0.0,0.0
ASF_local,fog,bus,3d,0.3,0,False,0.0,0.0
ASF_local,fog,bus,bev,0.7,0,False,0.0,0.0
ASF_local,fog,bus,bev,0.5,0,False,0.0,0.0
ASF_local,fog,bus,bev,0.3,0,False,0.0,0.0
ASF_local,day,sed,3d,0.7,19961,True,11.683249449190162,0.7857475996014465
ASF_local,day,sed,3d,0.5,19961,True,54.156333431763095,0.5532013570332168
