case,condition,frames,metric,iou,AP,delta_pp
no_query_output,overcast,383,BEV,0.7,77.30449643691126,-0.05178659305205713
no_query_output,fog,1049,AP3D,0.3,90.53464252918766,0.0
no_query_output,fog,1049,AP3D,0.5,79.75228965866765,0.036673092382372374
no_query_output,fog,1049,AP3D,0.7,45.82726717482561,-0.014211808975723272
no_query_output,fog,1049,BEV,0.3,99.50999407324423,-0.0002635960422168182
no_query_output,fog,1049,BEV,0.5,90.53459073699202,-0.00390774650341541
no_query_output,fog,1049,BEV,0.7,75.15347274030545,-0.055029339163795044
no_query_output,rain,1317,AP3D,0.3,88.8939902008295,0.0013591751328476676
no_query_output,rain,1317,AP3D,0.5,74.85488904628951,-0.03755927269696713
no_query_output,rain,1317,AP3D,0.7,22.88442086626808,0.04553743904385854
no_query_output,rain,1317,BEV,0.3,89.2249336505525,-0.0023973916378992044
no_query_output,rain,1317,BEV,0.5,89.02012462182644,0.006311742764637529
