run,epoch,fg_gate_bias,fg_gate_bias_sigmoid,fg_gate_last_weight_norm,fg_gate_all_norm,class_head_last_weight_norm,class_head_all_norm,class_context_norm,patch_common_norm,patch_unique_norm,patch_dec_res_scale,score_cam_bev_feat_last_weight_norm,score_cam_bev_feat_last_bias,score_cam_bev_feat_all_norm,score_spatial_features_2d_last_weight_norm,score_spatial_features_2d_last_bias,score_spatial_features_2d_all_norm,score_bev_feat_last_weight_norm,score_bev_feat_last_bias,score_bev_feat_all_norm,path
StrongerControl,7,-0.8102070689201355,0.3078463723218903,0.9597362875938416,25.06252670288086,0.0,18.64674949645996,2.50555419921875,66.42951202392578,73.18150329589844,0.07999999821186066,0.6755309700965881,-0.0309213325381279,30.16829490661621,0.888783872127533,0.03614698722958565,40.51630783081055,0.8962515592575073,-0.008626792579889297,36.388362884521484,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_7.pt
StrongerControl,10,-0.6864604949951172,0.334820915748796,1.1167595386505127,25.446063995361328,0.0,17.02186393737793,2.6364543437957764,72.58793640136719,80.41548919677734,0.07999999821186066,0.661171019077301,-0.09422901272773743,30.91997718811035,1.0896590948104858,0.035760439932346344,43.3828010559082,0.9359883069992065,0.01161045953631401,38.8681755065918,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_10.pt
Robust,0,-1.1574459075927734,0.23913168678052424,0.3292854130268097,23.896488189697266,0.0,23.06593132019043,1.1912155151367188,48.27164077758789,48.1427001953125,0.07999999821186066,0.052647750824689865,0.0006172938155941665,31.271190643310547,0.18595510721206665,0.03167341649532318,32.41142654418945,0.10125233232975006,-0.023704329505562782,32.182830810546875,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt
Robust,1,-1.1022789478302002,0.249313131804542,0.3860950767993927,23.829679489135742,0.0,22.37612533569336,1.7701135873794556,51.13950729370117,51.59493637084961,0.07999999821186066,0.08005743473768234,-0.004668423440307379,30.35087776184082,0.3418540060520172,0.037744175642728806,32.140281677246094,0.11548353731632233,-0.025711683556437492,31.333288192749023,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt
Robust,2,-1.044675350189209,0.26024888985380323,0.45004764199256897,23.700862884521484,0.0,21.706401824951172,2.2923057079315186,53.40495300292969,54.24942398071289,0.07999999821186066,0.23335829377174377,0.017458071932196617,30.0436954498291,0.34413570165634155,0.038766779005527496,31.353567123413086,0.17633335292339325,-0.027919884771108627,30.576908111572266,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_2.pt
Robust,4,-0.9413684010505676,0.2806240148386401,0.578892707824707,23.389598846435547,0.0,20.426544189453125,2.9463839530944824,60.074649810791016,61.69057846069336,0.07999999821186066,0.3108113706111908,-0.059206489473581314,28.00607681274414,1.1129424571990967,0.10627637058496475,37.61722946166992,0.34806743264198303,0.0014885623240843415,29.530460357666016,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_4.pt
Robust,7,-0.8089241981506348,0.30811978991771016,0.8635562062263489,23.65154266357422,0.0,18.64674949645996,3.5748977661132812,68.17230987548828,71.88484954833984,0.07999999821186066,1.4036606550216675,-0.08972333371639252,31.846004486083984,1.6947954893112183,0.1436767727136612,44.854557037353516,0.34347230195999146,-0.015045411884784698,27.122726440429688,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_7.pt
Robust,10,-0.6882938742637634,0.33441271682134094,0.9273598194122314,23.38069725036621,0.0,17.02186393737793,3.9369919300079346,74.2436294555664,79.56658172607422,0.07999999821186066,1.9553273916244507,-0.09946891665458679,34.861549377441406,1.9787402153015137,0.15124377608299255,46.811763763427734,1.5808480978012085,0.18963512778282166,35.650821685791016,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_10.pt
Balanced,0,-1.5444793701171875,0.17588504939567723,0.5160104036331177,24.34886360168457,0.0,22.848234176635742,0.7079764604568481,49.04898452758789,48.550418853759766,0.05999999865889549,0.09937435388565063,-0.024985244497656822,31.136316299438477,0.2390264868736267,0.03334012255072594,32.58808135986328,0.10554976016283035,-0.0046249935403466225,30.75351905822754,/home/hongsheng/dec_con_asf/logs/exp_260810_221300_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt
Balanced,1,-1.4748677015304565,0.18620387451982903,0.5160432457923889,24.901233673095703,0.0,22.164947509765625,1.0577448606491089,52.41725158691406,52.486839294433594,0.05999999865889549,0.08123835176229477,-0.0008043490233831108,29.672466278076172,0.39137205481529236,0.0372704453766346,33.2072639465332,0.2892420291900635,-0.02195529267191887,30.319122314453125,/home/hongsheng/dec_con_asf/logs/exp_260810_221300_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt
