project,method,experiment,result_kind,split_scope,condition,conf,class,epoch,checkpoint,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3,mean_available,mean_3d_available,source_path,source_note,comparability_note
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,3,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_3.pt,24.2,0.73,64.59,29.66,74.28,68.2,43.61000000000001,32.86333333333334,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,4,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_4.pt,42.62,11.52,68.91,49.73,75.51,72.74,53.504999999999995,44.66333333333333,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,5,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_5.pt,28.88,4.59,65.66,43.62,74.85,71.03,48.105,39.74666666666666,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,6,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_6.pt,42.54,10.89,68.95,49.23,75.26,72.38,53.208333333333336,44.166666666666664,/home/hongsheng/asf_patch_dec/logs/exp_260729_213503_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,7,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_7.pt,38.22,9.91,67.03,47.09,73.04,69.87,50.86000000000001,42.29,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,8,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_8.pt,45.65,12.8,69.64,50.45,75.49,72.88,54.48499999999999,45.376666666666665,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,9,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_9.pt,40.05,10.2,68.7,48.78,75.13,72.24,52.51666666666666,43.74,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,DecControlledASF Gentle,exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,10,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_10.pt,45.77,12.62,69.34,50.37,75.43,72.74,54.37833333333333,45.24333333333333,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260803_204106_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,7,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_7.pt,29.88,5.78,66.27,42.66,73.09,69.72,47.9,39.38666666666666,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
asf_patch_dec,ObjPatchDec Strong,exp_260803_204106_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,subset_eval_summary,subset_eval,subset_all,0.3,sed,8,/home/hongsheng/asf_patch_dec/logs/exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_8.pt,42.78,12.47,69.04,49.73,75.45,74.84,54.05166666666667,45.68,/home/hongsheng/asf_patch_dec/logs/exp_260803_204106_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/subset_eval_summary.json,,
