frame_idx,seq,sample_id,weather,patch_idx,foreground,camera,lidar,radar,dominant,dominant_value,dominance_margin,entropy,balance_score,fg_gate
2,1,00184,urban,1039,1,0.002104,0.997624,0.000271,L,0.997624,0.995520,0.015995,0.002647,0.136508
2,1,00184,urban,1311,1,0.003684,0.995807,0.000509,L,0.995807,0.992123,0.026114,0.004702,0.134733
2,1,00184,urban,309,1,0.008061,0.990608,0.001331,L,0.990608,0.982547,0.051903,0.010723,0.223488
2,1,00184,urban,222,1,0.005732,0.993561,0.000707,L,0.993561,0.987828,0.037442,0.007146,0.124246
2,1,00184,urban,1038,1,0.005906,0.993356,0.000739,L,0.993356,0.987450,0.038461,0.007383,0.136562
2,1,00184,urban,1399,1,0.002496,0.997133,0.000370,L,0.997133,0.994637,0.018886,0.003237,0.129686
2,1,00184,urban,217,1,0.002279,0.997406,0.000315,L,0.997406,0.995127,0.017291,0.002909,0.146007
2,1,00184,urban,312,1,0.007966,0.990885,0.001149,L,0.990885,0.982919,0.050380,0.010265,0.150283
2,1,00184,urban,1397,1,0.000930,0.998948,0.000122,L,0.998948,0.998017,0.007869,0.001174,0.143605
2,1,00184,urban,1125,1,0.005877,0.993371,0.000753,L,0.993371,0.987494,0.038420,0.007382,0.143732
2,1,00184,urban,400,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000001,0.000000,0.696813
2,1,00184,urban,1126,1,0.000069,0.999922,0.000009,L,0.999922,0.999853,0.000767,0.000087,0.266970
2,1,00184,urban,1129,1,0.000295,0.999660,0.000045,L,0.999660,0.999365,0.002904,0.000386,0.332868
2,1,00184,urban,490,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000004,0.000000,0.688479
2,1,00184,urban,396,1,0.000435,0.999499,0.000066,L,0.999499,0.999065,0.004096,0.000567,0.274558
2,1,00184,urban,1217,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.712463
2,1,00184,urban,1041,1,0.005854,0.993413,0.000733,L,0.993413,0.987560,0.038184,0.007320,0.133654
2,1,00184,urban,402,1,0.005406,0.993721,0.000873,L,0.993721,0.988316,0.036980,0.007151,0.209601
2,1,00184,urban,1306,1,0.000183,0.999793,0.000025,L,0.999793,0.999610,0.001857,0.000232,0.274466
2,1,00184,urban,1310,1,0.004715,0.994592,0.000694,L,0.994592,0.989877,0.032492,0.006102,0.157980
2,1,00184,urban,1400,1,0.004464,0.994887,0.000650,L,0.994887,0.990423,0.030970,0.005763,0.121390
2,1,00184,urban,489,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.747885
2,1,00184,urban,1401,1,0.004881,0.994419,0.000701,L,0.994419,0.989538,0.033344,0.006282,0.123241
2,1,00184,urban,1396,1,0.020428,0.976839,0.002733,L,0.976839,0.956411,0.107867,0.025894,0.131927
2,1,00184,urban,486,1,0.000379,0.999567,0.000054,L,0.999567,0.999188,0.003594,0.000487,0.271556
2,1,00184,urban,582,1,0.007963,0.990989,0.001048,L,0.990989,0.983026,0.049743,0.010060,0.122254
2,1,00184,urban,1131,1,0.005233,0.994079,0.000688,L,0.994079,0.988847,0.034954,0.006609,0.164541
2,1,00184,urban,1218,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000003,0.000000,0.650577
