method,baseline,cls,group,gt,common_tp_3D,gained,lost,recall_delta_3D,recall_delta_BEV,common_tp_objdec_lr_xy_m,common_tp_l4dr_xy_m,common_tp_objdec_lr_z_m,common_tp_l4dr_z_m,common_tp_objdec_lr_size_l1_m,common_tp_l4dr_size_l1_m,common_tp_objdec_lr_yaw_axis_deg,common_tp_l4dr_yaw_axis_deg,common_tp_objdec_clr_xy_m,common_tp_asf_xy_m,common_tp_objdec_clr_z_m,common_tp_asf_z_m,common_tp_objdec_clr_size_l1_m,common_tp_asf_size_l1_m,common_tp_objdec_clr_yaw_axis_deg,common_tp_asf_yaw_axis_deg
objdec_lr,l4dr,all,lidar:6-20,565,284,44,51,-0.012389380530973451,0.008849557522123894,0.09041662248913986,0.09169986414309905,0.08140581977409377,0.08789876192598275,0.13945094401567754,0.13505239868667765,15.799700921404265,15.392414410783799,,,,,,,,
objdec_clr,asf,all,lidar:6-20,565,279,60,42,0.03185840707964602,0.021238938053097345,,,,,,,,,0.09211592178034018,0.0914526301833357,0.09104182568502255,0.08712853464601715,0.13817641758576943,0.14346776331197403,14.875960513216912,15.109385275941634
objdec_lr,l4dr,all,lidar:21-100,5228,4186,263,222,0.00784238714613619,0.0007651109410864575,0.09001593361475194,0.09114659565955452,0.05853955820558804,0.05873472079976404,0.1583517767627787,0.15688528657329748,8.73489426947968,8.965658813011997,,,,,,,,
objdec_clr,asf,all,lidar:21-100,5228,4112,291,263,0.005355776587605203,0.008224942616679418,,,,,,,,,0.09134911421989567,0.09006321181776228,0.05918609260233547,0.05690884094409906,0.1577877241770233,0.15434071112148726,7.868098033578981,8.352237620188681
objdec_lr,l4dr,all,lidar:101+,5891,5562,117,92,0.004243761670344594,0.005092514004413512,0.0872164740281917,0.0862397198574388,0.03825708567903265,0.0365909641470957,0.17482215858371683,0.1748016532463635,3.813105157339274,3.989791133532433,,,,,,,,
objdec_clr,asf,all,lidar:101+,5891,5577,69,116,-0.007978271940247837,-0.002376506535392972,,,,,,,,,0.08662968159504456,0.0863595977754135,0.03820296100135215,0.03679308557078999,0.17247372364963665,0.170188713729948,3.7056273846953633,3.7577414123892203
objdec_lr,l4dr,all,radar:0,4722,3598,263,228,0.0074121135112240576,0.0052943667937314694,0.09195669488353021,0.09244366739736792,0.059750826017783046,0.060084461345295395,0.1661240809357385,0.16273944626555567,8.647654873970914,8.74869126056602,,,,,,,,
objdec_clr,asf,all,radar:0,4722,3544,287,261,0.005506141465480729,0.00847098686997035,,,,,,,,,0.09248558685970446,0.09188175476365092,0.060708374746824965,0.058969502114432255,0.1641559629421471,0.16161440211110675,7.784551808227343,8.066449586969872
objdec_lr,l4dr,all,radar:1-5,2137,1750,101,74,0.012634534394010294,0.012634534394010294,0.09199230171174609,0.09154732757048416,0.052221928996699196,0.050877712649958474,0.16109780265603746,0.16111634348120007,7.547858462904331,7.824337698765076,,,,,,,,
objdec_clr,asf,all,radar:1-5,2137,1763,74,85,-0.005147402901263453,0.0028076743097800653,,,,,,,,,0.09396205166229578,0.09228768043422896,0.053089025281940205,0.04982790465018185,0.15904294279780634,0.15814741184883205,6.8237461631872645,7.337539760958522
objdec_lr,l4dr,all,radar:6-20,1986,1789,49,38,0.0055387713997985906,0.002014098690835851,0.0906590918779723,0.08797420839213727,0.042961121817385435,0.042756867890187386,0.16842024993669927,0.16894723230930198,5.373449997459471,5.671508930570587,,,,,,,,
objdec_clr,asf,all,radar:6-20,1986,1782,46,50,-0.002014098690835851,-0.0025176233635448137,,,,,,,,,0.08950467307463406,0.09064825922569551,0.042647159448276066,0.04076102576986808,0.1687107353599786,0.16653377695717794,5.27566479582633,5.549861448346002
objdec_lr,l4dr,all,radar:21+,3009,2896,29,25,0.0013293452974410102,0.0036556995679627785,0.08066509995054459,0.081885269341644,0.03377828529125172,0.03203614366926428,0.17056226234327362,0.17182845549236014,2.8756564278311463,3.040111483882057,,,,,,,,
