model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
asf,Cyclist,lidar:101+,1332,1301,0.9767267267267268,1309,0.9827327327327328,0.08735682282845227,0.03768771501983889,0.15928790300832538,4.087293634124485
l4dr,Cyclist,lidar:101+,1332,1279,0.9602102102102102,1289,0.9677177177177178,0.08768618847858788,0.0365427851770146,0.1567026502551093,4.363122129465478
objdec_clr,Cyclist,radar:0,1530,1307,0.8542483660130719,1363,0.8908496732026144,0.1087973885041859,0.06256867443833446,0.15619930485869146,5.92405930578094
objdec_lr,Cyclist,radar:0,1530,1288,0.8418300653594771,1348,0.8810457516339869,0.10369890899209794,0.061682760611361596,0.1551142512178569,6.067080293698026
asf,Cyclist,radar:0,1530,1281,0.8372549019607843,1327,0.8673202614379085,0.10413872221467331,0.06136853869053463,0.15200726112102178,5.88740862073906
l4dr,Cyclist,radar:0,1530,1273,0.8320261437908497,1339,0.8751633986928105,0.10530493139835823,0.05975897080511534,0.1501817233620529,5.835802115773324
objdec_clr,Cyclist,radar:1-5,701,638,0.9101283880171184,651,0.9286733238231099,0.10258936099226362,0.054168123681810586,0.15796690628072685,4.948996142553519
objdec_lr,Cyclist,radar:1-5,701,635,0.905848787446505,650,0.927246790299572,0.09970206165994246,0.05465271795593848,0.15567683572844257,5.027533124643751
asf,Cyclist,radar:1-5,701,629,0.8972895863052782,646,0.9215406562054208,0.10212871830078324,0.052682988179791335,0.15945859923840328,4.925410138169862
l4dr,Cyclist,radar:1-5,701,625,0.891583452211127,637,0.9087018544935807,0.09962397124171257,0.05187216734886169,0.1537819827079773,5.168066629402868
objdec_clr,Cyclist,radar:6-20,582,551,0.9467353951890034,557,0.9570446735395189,0.09607559267073167,0.045034587383270264,0.16875536017755416,4.485171814485932
objdec_lr,Cyclist,radar:6-20,582,551,0.9467353951890034,557,0.9570446735395189,0.09484214469631576,0.04279046655782987,0.16655528783365517,4.688722739112002
asf,Cyclist,radar:6-20,582,549,0.9432989690721649,559,0.9604810996563574,0.09417378580543757,0.043120647985861384,0.16643840812811653,4.474799296043146
l4dr,Cyclist,radar:6-20,582,541,0.929553264604811,549,0.9432989690721649,0.09122673293503342,0.04446927032497145,0.16670414799903546,4.860416358061436
objdec_clr,Cyclist,radar:21+,551,537,0.9745916515426497,537,0.9745916515426497,0.08319214584298945,0.036466983776518754,0.156368161379958,3.899860989531691
objdec_lr,Cyclist,radar:21+,551,540,0.9800362976406534,541,0.9818511796733213,0.08227772335651228,0.033221317220617226,0.15459712898289715,3.951220667245597
asf,Cyclist,radar:21+,551,542,0.9836660617059891,543,0.985480943738657,0.0818530938818336,0.035605459745519714,0.15515005357590989,3.8815618906260707
l4dr,Cyclist,radar:21+,551,541,0.9818511796733213,541,0.9818511796733213,0.08529395755473353,0.033117977396177056,0.15179711613328972,4.102746548102065
