model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
objdec_lr,Vehicle,lidar:21-100,1217,933,0.7666392769104355,1084,0.8907148726376335,0.1244021938327153,0.06105593704525681,0.2221166331157296,2.280903932286261
asf,Vehicle,lidar:21-100,1217,908,0.7460969597370584,1062,0.8726376335250616,0.12419374855973712,0.05690023559043061,0.21529623826694907,2.290386316915417
l4dr,Vehicle,lidar:21-100,1217,899,0.7387017255546425,1093,0.8981101068200493,0.12637003190769866,0.06554222416891006,0.2259117158024144,2.325011750568469
objdec_clr,Vehicle,lidar:101+,3514,3346,0.952191235059761,3442,0.9795105293113261,0.09505328848629296,0.0371551382050889,0.19371834972698534,1.3641625170196758
objdec_lr,Vehicle,lidar:101+,3514,3373,0.9598747865680136,3459,0.9843483210017074,0.09626251721938008,0.037423994790860955,0.19881472543761103,1.4193834168500115
asf,Vehicle,lidar:101+,3514,3392,0.9652817302219693,3460,0.9846328969834945,0.0964863207730748,0.03663267159394103,0.19413584808133683,1.425041873359154
l4dr,Vehicle,lidar:101+,3514,3379,0.9615822424587365,3456,0.983494593056346,0.09468775320081958,0.03651246066682303,0.1993475358279438,1.416717213871078
objdec_clr,Vehicle,radar:0,1286,975,0.7581648522550545,1112,0.864696734059098,0.122000781980176,0.06020676801602046,0.22409465997647016,2.0097846628630327
objdec_lr,Vehicle,radar:0,1286,989,0.7690513219284604,1123,0.8732503888024883,0.1260856790157342,0.05742355029280434,0.23246164775111677,2.160335044911242
asf,Vehicle,radar:0,1286,981,0.7628304821150855,1118,0.8693623639191291,0.1273870414657429,0.056698096629372675,0.2273734947713994,2.1125706985985224
l4dr,Vehicle,radar:0,1286,976,0.7589424572317263,1132,0.880248833592535,0.1243899465971779,0.062170922473744776,0.2351520557384022,2.1978368247832067
objdec_clr,Vehicle,radar:1-5,705,567,0.8042553191489362,645,0.9148936170212766,0.11790240026240087,0.05095452820550407,0.19759779190891003,1.796656905778714
objdec_lr,Vehicle,radar:1-5,705,592,0.8397163120567376,658,0.9333333333333333,0.11499523362451598,0.049160408925869176,0.2085431578594285,1.8246722697543059
asf,Vehicle,radar:1-5,705,593,0.8411347517730496,647,0.9177304964539007,0.11785048409365118,0.04722639520041657,0.20574595232637094,1.8451199229918827
l4dr,Vehicle,radar:1-5,705,574,0.8141843971631205,647,0.9177304964539007,0.11209543560102633,0.04856457631347071,0.20823366467545673,1.7983602382394395
objdec_clr,Vehicle,radar:6-20,848,768,0.9056603773584906,806,0.9504716981132075,0.10396585959279037,0.04355902243211555,0.20536153592790166,1.6145717348970017
objdec_lr,Vehicle,radar:6-20,848,778,0.9174528301886793,811,0.9563679245283019,0.10748445887296942,0.042549924201937754,0.20747347448049902,1.6437118739087775
asf,Vehicle,radar:6-20,848,777,0.9162735849056604,809,0.9540094339622641,0.10726150664041824,0.04113984609231295,0.2058908344082237,1.6466227475381723
l4dr,Vehicle,radar:6-20,848,778,0.9174528301886793,810,0.9551886792452831,0.10297842060424062,0.04435982110797593,0.20587675736924982,1.6045939916795144
objdec_clr,Vehicle,radar:21+,2027,1956,0.9649728663048841,1984,0.978786383818451,0.0850138319688392,0.03258236547920602,0.18297809831691422,1.2281192306677684
objdec_lr,Vehicle,radar:21+,2027,1967,0.970399605328071,1996,0.9847064627528367,0.08543562619384884,0.033206499923620965,0.1870789864248713,1.2697194653872907
asf,Vehicle,radar:21+,2027,1970,0.9718796250616675,1995,0.9842131228416379,0.08374698903224889,0.03136630090104823,0.17930918145300773,1.2760834977252145
l4dr,Vehicle,radar:21+,2027,1966,0.9699062654168722,1986,0.9797730636408486,0.08645057395148675,0.030851420102733833,0.18854647893022788,1.2702838034378416
objdec_clr,Pedestrian,all,3624,3100,0.8554083885209713,3234,0.8923841059602649,0.06767089124945473,0.05602705098568432,0.133155287177332,12.607635545728314
objdec_lr,Pedestrian,all,3624,3135,0.8650662251655629,3251,0.897075055187638,0.06810526946857363,0.056363681091836385,0.13480309999920725,13.837285599321564
asf,Pedestrian,all,3624,3091,0.852924944812362,3224,0.8896247240618101,0.06769530777691402,0.053171426234980765,0.13093967541488233,13.155277623788734
l4dr,Pedestrian,all,3624,3124,0.8620309050772627,3227,0.8904525386313465,0.06845130997491707,0.05502805481968917,0.13338408522813483,14.27799615446064
objdec_clr,Pedestrian,range:0-30,1486,1360,0.9152086137281292,1396,0.9394347240915208,0.06408971642719254,0.04547391598496367,0.12403743536595035,12.278886546599223
objdec_lr,Pedestrian,range:0-30,1486,1365,0.9185733512786003,1394,0.9380888290713324,0.06512987052496427,0.04615138381610423,0.12435685802292037,13.356808535015075
asf,Pedestrian,range:0-30,1486,1365,0.9185733512786003,1400,0.9421265141318977,0.06378780652874665,0.04241239519673826,0.12177871563932398,12.82281943289144
l4dr,Pedestrian,range:0-30,1486,1362,0.9165545087483177,1392,0.9367429340511441,0.06578632634784069,0.04338215848242265,0.12574924751787983,13.9412530226195
objdec_clr,Pedestrian,range:30-60,1792,1464,0.8169642857142857,1535,0.8565848214285714,0.07047930118922702,0.06224125983254587,0.14097056918538334,12.30942390777199
objdec_lr,Pedestrian,range:30-60,1792,1477,0.82421875,1547,0.86328125,0.06955009927166363,0.06247414611204299,0.14409392785606306,13.975648579075072
asf,Pedestrian,range:30-60,1792,1465,0.8175223214285714,1536,0.8571428571428571,0.07010252759776017,0.058339046437687433,0.1381158922922896,13.223207911969554
l4dr,Pedestrian,range:30-60,1792,1469,0.8197544642857143,1533,0.85546875,0.06926476070942665,0.05961752418679717,0.14043368811993634,14.322306014490556
objdec_clr,Pedestrian,range:60+,346,276,0.7976878612716763,303,0.8757225433526011,0.07042047678007056,0.0750656808739987,0.13662885820520096,15.809376403639968
objdec_lr,Pedestrian,range:60+,346,293,0.846820809248555,310,0.8959537572254336,0.07468344673431723,0.07313715872504198,0.1366343885761886,15.378203932708686
asf,Pedestrian,range:60+,346,261,0.7543352601156069,288,0.8323699421965318,0.07461930075089422,0.0804339311017844,0.13857014425869646,14.512701219152348
l4dr,Pedestrian,range:60+,346,293,0.846820809248555,302,0.8728323699421965,0.07676103206052613,0.08615358489161873,0.13353009994933224,15.621180322323031
objdec_clr,Pedestrian,lidar:0-5,36,2,0.05555555555555555,2,0.05555555555555555,0.062205974012613297,0.13011184334754944,0.16999036073684692,11.501161793609544
objdec_lr,Pedestrian,lidar:0-5,36,3,0.08333333333333333,4,0.1111111111111111,0.09521661574641864,0.14219961563746134,0.15184533596038818,3.617797675680153
asf,Pedestrian,lidar:0-5,36,5,0.1388888888888889,7,0.19444444444444445,0.08951351940631866,0.10344380140304565,0.14618793725967408,11.436530127023445
l4dr,Pedestrian,lidar:0-5,36,1,0.027777777777777776,1,0.027777777777777776,0.09800467640161514,0.14286553859710693,0.028448283672332764,27.962693830427487
objdec_clr,Pedestrian,lidar:6-20,314,209,0.6656050955414012,234,0.7452229299363057,0.07401909423617727,0.08948251105951921,0.1318118441047851,19.616102761062667
objdec_lr,Pedestrian,lidar:6-20,314,210,0.6687898089171974,235,0.7484076433121019,0.0788499826698431,0.07885525772968928,0.1363561735266731,20.558116730039135
asf,Pedestrian,lidar:6-20,314,203,0.6464968152866242,232,0.7388535031847133,0.07762691809158093,0.08279884654312886,0.13377638917251172,19.245072764182503
l4dr,Pedestrian,lidar:6-20,314,206,0.6560509554140127,225,0.7165605095541401,0.08073008421455845,0.09277066747540409,0.13053338215189073,19.46087879290061
objdec_clr,Pedestrian,lidar:21-100,2229,1893,0.8492597577388964,1984,0.8900852400179453,0.0693641936022624,0.059247668482249084,0.1360390782198828,12.617764489657043
objdec_lr,Pedestrian,lidar:21-100,2229,1919,0.860924181247196,1998,0.8963660834454913,0.06875271871223718,0.060429527858634244,0.13807275781040082,14.218582314256093
asf,Pedestrian,lidar:21-100,2229,1883,0.8447734410049349,1975,0.88604755495738,0.06922624072661417,0.05636240749467071,0.13277834266091812,13.52288008765263
l4dr,Pedestrian,lidar:21-100,2229,1921,0.8618214445939884,1992,0.8936742934051144,0.06905750796925578,0.05836517936639771,0.13395167886435147,14.721025600320266
