variant,checkpoint,epoch,split,metric,value
patch,best,75,test,V2X/Pedestrian_3D_hard_strict,58.83302904700134
patch,best,75,test,V2X/Pedestrian_BEV_hard_strict,63.52731548987693
patch,best,75,test,V2X/Pedestrian_3D_easy_loose,79.94745753289163
patch,best,75,test,V2X/Pedestrian_BEV_easy_loose,80.53935465486649
patch,best,75,test,V2X/Pedestrian_3D_moderate_loose,78.76506776980744
patch,best,75,test,V2X/Pedestrian_BEV_moderate_loose,79.34735240434058
patch,best,75,test,V2X/Pedestrian_3D_hard_loose,78.76179347732368
patch,best,75,test,V2X/Pedestrian_BEV_hard_loose,79.34502669863812
patch,best,75,test,V2X/Cyclist_3D_easy_strict,82.29308786770959
patch,best,75,test,V2X/Cyclist_BEV_easy_strict,85.00979309768846
patch,best,75,test,V2X/Cyclist_3D_moderate_strict,79.01077429281666
patch,best,75,test,V2X/Cyclist_BEV_moderate_strict,82.47793755794903
patch,best,75,test,V2X/Cyclist_3D_hard_strict,78.94126083621929
patch,best,75,test,V2X/Cyclist_BEV_hard_strict,82.4275300236027
patch,best,75,test,V2X/Cyclist_3D_easy_loose,91.12982975256406
patch,best,75,test,V2X/Cyclist_BEV_easy_loose,91.27770533869688
patch,best,75,test,V2X/Cyclist_3D_moderate_loose,89.2518191868169
patch,best,75,test,V2X/Cyclist_BEV_moderate_loose,89.33687258356603
patch,best,75,test,V2X/Cyclist_3D_hard_loose,89.14299523117275
patch,best,75,test,V2X/Cyclist_BEV_hard_loose,89.27181754086935
patch,best,75,test,V2X/Overall_3D_easy,76.02788842833856
patch,best,75,test,V2X/Overall_BEV_easy,80.53873531636559
patch,best,75,test,V2X/Overall_3D_moderate,72.1301110073382
patch,best,75,test,V2X/Overall_BEV_moderate,78.14370171840112
patch,best,75,test,V2X/Overall_3D_hard,71.94337781283757
patch,best,75,test,V2X/Overall_BEV_hard,77.98691039895373
patch,best,75,test_deduplicated,V2X/Vehicle_3D_easy_strict,86.23963907049394
patch,best,75,test_deduplicated,V2X/Vehicle_BEV_easy_strict,92.84981466206574
patch,best,75,test_deduplicated,V2X/Vehicle_3D_moderate_strict,78.57488574664727
