run,condition,class,metric,iou,ap,asf_ap,delta_pp
ASF official RLC,normal,bus,3D,0.5,23.932995588579942,23.932995588579942,0.0
ASF official RLC,normal,bus,3D,0.7,5.728362594412192,5.728362594412192,0.0
ASF official RLC,normal,bus,BEV,0.3,57.35129446247801,57.35129446247801,0.0
ASF official RLC,normal,bus,BEV,0.5,36.91333613194176,36.91333613194176,0.0
ASF official RLC,normal,bus,BEV,0.7,11.30274464241066,11.30274464241066,0.0
ASF official RLC,overcast,sed,3D,0.3,82.35468228208515,82.35468228208515,0.0
ASF official RLC,overcast,sed,3D,0.5,53.37664815403531,53.37664815403531,0.0
ASF official RLC,overcast,sed,3D,0.7,6.298901277641798,6.298901277641798,0.0
ASF official RLC,overcast,sed,BEV,0.3,89.36570822189952,89.36570822189952,0.0
ASF official RLC,overcast,sed,BEV,0.5,81.98155331823098,81.98155331823098,0.0
ASF official RLC,overcast,sed,BEV,0.7,46.16740589274425,46.16740589274425,0.0
ASF official RLC,overcast,bus,3D,0.3,75.32582793213054,75.32582793213054,0.0
ASF official RLC,overcast,bus,3D,0.5,47.04012126011879,47.04012126011879,0.0
ASF official RLC,overcast,bus,3D,0.7,8.177121394765297,8.177121394765297,0.0
ASF official RLC,overcast,bus,BEV,0.3,81.67069508532919,81.67069508532919,0.0
ASF official RLC,overcast,bus,BEV,0.5,54.739976399475886,54.739976399475886,0.0
ASF official RLC,overcast,bus,BEV,0.7,21.953597635504902,21.953597635504902,0.0
ASF official RLC,fog,sed,3D,0.3,92.25503949710469,92.25503949710469,0.0
ASF official RLC,fog,sed,3D,0.5,80.54989713755023,80.54989713755023,0.0
ASF official RLC,fog,sed,3D,0.7,38.988782336889166,38.988782336889166,0.0
ASF official RLC,fog,sed,BEV,0.3,94.91345109202213,94.91345109202213,0.0
ASF official RLC,fog,sed,BEV,0.5,94.78265074487796,94.78265074487796,0.0
ASF official RLC,fog,sed,BEV,0.7,79.65763412163979,79.65763412163979,0.0
ASF official RLC,fog,bus,3D,0.3,0.0,0.0,0.0
ASF official RLC,fog,bus,3D,0.5,0.0,0.0,0.0
ASF official RLC,fog,bus,3D,0.7,0.0,0.0,0.0
ASF official RLC,fog,bus,BEV,0.3,0.0,0.0,0.0
ASF official RLC,fog,bus,BEV,0.5,0.0,0.0,0.0
ASF official RLC,fog,bus,BEV,0.7,0.0,0.0,0.0
ASF official RLC,rain,sed,3D,0.3,66.3666834828411,66.3666834828411,0.0
ASF official RLC,rain,sed,3D,0.5,46.85401943672793,46.85401943672793,0.0
