condition,class,metric,iou,asf_ap,decstrong_ap,delta_pp
lightsnow,sed,BEV,0.5,87.9794133975015,87.46913846232847,-0.5102749351730296
lightsnow,sed,BEV,0.7,67.89478918337454,67.43740771819881,-0.45738146517572886
lightsnow,bus,3D,0.3,88.25935219842833,89.56350131502805,1.3041491165997172
lightsnow,bus,3D,0.5,70.81127016589451,75.09186027851328,4.280590112618768
lightsnow,bus,3D,0.7,39.85807168093349,48.47579336661988,8.61772168568639
lightsnow,bus,BEV,0.3,94.46301987468712,94.64121254882689,0.17819267413976547
lightsnow,bus,BEV,0.5,91.02288067610948,89.13724914739298,-1.8856315287165017
lightsnow,bus,BEV,0.7,69.53403189422211,74.19409925632915,4.660067362107043
heavysnow,sed,3D,0.3,63.60797021105265,63.573542852068464,-0.03442735898418903
heavysnow,sed,3D,0.5,49.52424782762442,50.48532396870704,0.9610761410826214
heavysnow,sed,3D,0.7,16.6205910527445,18.18523248704392,1.5646414342994177
heavysnow,sed,BEV,0.3,63.89596450476439,65.87382823123504,1.9778637264706447
heavysnow,sed,BEV,0.5,61.279116602695694,61.33387520169754,0.05475859900184332
heavysnow,sed,BEV,0.7,42.616778269169906,43.24680476470426,0.6300264955343522
heavysnow,bus,3D,0.3,68.20418622088357,72.34123850166718,4.137052280783607
heavysnow,bus,3D,0.5,32.550531908424915,39.36839489426447,6.817862985839554
heavysnow,bus,3D,0.7,7.825995971587418,13.94172379466292,6.115727823075502
heavysnow,bus,BEV,0.3,87.51376457522746,89.50402222660298,1.9902576513755292
heavysnow,bus,BEV,0.5,79.69984775555656,78.96456092133096,-0.7352868342256045
heavysnow,bus,BEV,0.7,29.589559826906587,36.92555024985116,7.335990422944576
day,sed,3D,0.3,77.14190080374229,76.74069078545422,-0.4012100182880687
day,sed,3D,0.5,54.75598286987021,54.70953478879631,-0.04644808107389764
day,sed,3D,0.7,12.594213477752811,12.468997048791609,-0.12521642896120255
day,sed,BEV,0.3,79.83859234146277,79.31169149599458,-0.5269008454681909
day,sed,BEV,0.5,74.1060258863607,73.64132644713531,-0.4646994392253845
day,sed,BEV,0.7,45.140982188209506,44.588677837914155,-0.5523043502953513
day,bus,3D,0.3,56.9292882026023,53.673969965481994,-3.2553182371203064
day,bus,3D,0.5,27.719277309777674,26.79560335804865,-0.9236739517290253
day,bus,3D,0.7,6.711469281739466,4.621357705285217,-2.090111576454249
day,bus,BEV,0.3,60.21894965556813,56.9836883566341,-3.2352612989340344
day,bus,BEV,0.5,44.76612474412965,41.82002169309907,-2.946103051030576
day,bus,BEV,0.7,16.6243848839265,15.57784626999118,-1.0465386139353186
night,sed,3D,0.3,70.67299438396955,70.27500089860274,-0.39799348536681123
night,sed,3D,0.5,46.58593243169625,46.91352410055849,0.3275916688622402
night,sed,3D,0.7,11.23791429710876,12.17135722782504,0.9334429307162786
night,sed,BEV,0.3,73.91598674452821,73.41996462215255,-0.49602212237566334
night,sed,BEV,0.5,66.84370892725146,66.46646617474936,-0.3772427525020987
night,sed,BEV,0.7,40.7247944433854,42.25791060345405,1.5331161600686514
night,bus,3D,0.3,60.36562791309061,63.82832800611643,3.4627000930258163
night,bus,3D,0.5,36.95414581651178,42.68707979456071,5.732933978048926
night,bus,3D,0.7,11.795749564263,18.197058700645066,6.401309136382066
night,bus,BEV,0.3,75.85685730060533,78.02941892414427,2.1725616235389396
night,bus,BEV,0.5,62.501625521904444,62.27428188776638,-0.2273436341380659
night,bus,BEV,0.7,25.94431296741182,33.63925670895666,7.69494374154484
urban,sed,3D,0.3,78.21530346687796,77.95155609097652,-0.26374737590143127
urban,sed,3D,0.5,57.069269146190074,57.331730212966,0.26246106677592707
urban,sed,3D,0.7,14.436119359295468,14.85174631301916,0.41562695372369163
urban,sed,BEV,0.3,81.14274190212569,80.78187123797323,-0.3608706641524577
urban,sed,BEV,0.5,74.76960621471763,74.48011538310396,-0.2894908316136622
urban,sed,BEV,0.7,50.836694047562126,50.39233290705776,-0.4443611405043697
urban,bus,3D,0.3,86.24622015391492,85.183778926199,-1.0624412277159223
urban,bus,3D,0.5,45.14661479140337,47.79981724533537,2.6532024539319963
urban,bus,3D,0.7,13.19080014789471,20.0178872625223,6.8270871146275915
urban,bus,BEV,0.3,88.53903758982509,85.52094664106704,-3.0180909487580436
urban,bus,BEV,0.5,82.30261788411943,78.70894051091598,-3.593677373203448
urban,bus,BEV,0.7,38.80794482057661,43.25812873040943,4.450183909832823
highway,sed,3D,0.3,81.45046674612678,83.05806594123516,1.607599195108378
highway,sed,3D,0.5,55.73026706875257,56.08302700810596,0.35275993935339045
highway,sed,3D,0.7,6.244769341412074,5.366135673590466,-0.8786336678216085
highway,sed,BEV,0.3,84.34393180859784,85.72716444405253,1.3832326354546893
highway,sed,BEV,0.5,78.05297775458348,79.58352323138045,1.5305454767969735
highway,sed,BEV,0.7,41.99861999751438,41.78732881732318,-0.2112911801912034
highway,bus,3D,0.3,56.79300374524857,57.45208274374658,0.6590789984980105
highway,bus,3D,0.5,29.334711576873406,33.13213376954994,3.7974221926765317
highway,bus,3D,0.7,8.114078627460296,9.706240884579746,1.5921622571194494
highway,bus,BEV,0.3,68.39847864916388,68.07565685696194,-0.3228217922019354
highway,bus,BEV,0.5,51.451891907410385,50.83286424169474,-0.6190276657156417
highway,bus,BEV,0.7,18.690332636240395,21.60614770798724,2.915815071746845
countryside,sed,3D,0.3,65.56484751745663,60.01597669605143,-5.548870821405195
countryside,sed,3D,0.5,43.50148816290062,34.23701683143703,-9.26447133146359
countryside,sed,3D,0.7,6.530115388438913,8.126580202056259,1.5964648136173452
countryside,sed,BEV,0.3,69.847527648194,65.32674491177677,-4.520782736417232
countryside,sed,BEV,0.5,60.368185366711856,55.9302485379546,-4.437936828757259
countryside,sed,BEV,0.7,27.25403185255677,23.279986194122856,-3.9740456584339157
countryside,bus,3D,0.3,32.68170426065163,24.83445764156118,-7.847246619090448
countryside,bus,3D,0.5,15.098722415795587,12.315423023283047,-2.7832993925125393
countryside,bus,3D,0.7,1.9744483159117305,1.5864868372921757,-0.3879614786195549
countryside,bus,BEV,0.3,36.0397184999518,27.346297537122016,-8.693420962829787
countryside,bus,BEV,0.5,20.90592334494773,19.598617837423937,-1.3073055075237932
countryside,bus,BEV,0.7,10.73170731707317,7.624046222379041,-3.1076610946941283
alleyway,sed,3D,0.3,39.07215294721143,38.10762820311203,-0.9645247440993998
alleyway,sed,3D,0.5,20.96564531014054,21.068004816468736,0.10235950632819524
alleyway,sed,3D,0.7,4.01230981209457,2.7090036760373577,-1.3033061360572127
alleyway,sed,BEV,0.3,42.31873165539752,41.15283803680305,-1.165893618594474
alleyway,sed,BEV,0.5,35.67898364381531,35.26825340008451,-0.4107302437307965
alleyway,sed,BEV,0.7,17.434291234731138,16.003937445640403,-1.4303537890907343
alleyway,bus,3D,0.3,20.6062415028347,22.975626765901723,2.3693852630670236
alleyway,bus,3D,0.5,4.523238120081736,3.230899741104333,-1.2923383789774028
alleyway,bus,3D,0.7,0.0,0.14139271827500885,0.14139271827500885
alleyway,bus,BEV,0.3,22.689073352107012,25.48163960602573,2.792566253918718
alleyway,bus,BEV,0.5,14.081002148461067,11.702928632474844,-2.378073515986223
alleyway,bus,BEV,0.7,0.9161713465874155,1.6765136595465333,0.7603423129591178
parkinglots,sed,3D,0.3,66.40871747347634,75.30394383216739,8.895226358691048
parkinglots,sed,3D,0.5,44.80865464908141,51.038719351754345,6.230064702672934
parkinglots,sed,3D,0.7,26.793951241902597,27.428661719511965,0.6347104776093673
parkinglots,sed,BEV,0.3,68.66446012317637,75.53350726183027,6.869047138653897
parkinglots,sed,BEV,0.5,55.84886359174085,60.98240087068544,5.133537278944587
parkinglots,sed,BEV,0.7,33.3808202999792,36.34971073197592,2.9688904319967193
parkinglots,bus,3D,0.3,64.18320887248913,66.7891103992397,2.6059015267505714
parkinglots,bus,3D,0.5,38.036254785614894,40.03288602075996,1.9966312351450668
parkinglots,bus,3D,0.7,9.73464209921206,9.365319522322837,-0.369322576889223
parkinglots,bus,BEV,0.3,66.88404536536319,67.05096464086905,0.16691927550586172
parkinglots,bus,BEV,0.5,53.54145289851559,51.34177197904543,-2.199680919470154
parkinglots,bus,BEV,0.7,20.058069360882467,19.817677454932678,-0.24039190594978876
shoulder,sed,3D,0.3,97.31850614334388,97.32176294379819,0.0032568004543094276
