condition,cls,metric,iou,gt_objects,has_gt,l4dr_local_aligned,asf_official_archive,strong_rescored,strong_minus_l4dr,strong_minus_asf,local_gt_exact_match_l4dr_strong,asf_frame_gt_reverified
heavysnow,bus,BEV,0.5,1137,True,74.62164049959344,79.69984775555656,78.96456092133096,4.342920421737517,-0.7352868342256045,True,False
heavysnow,bus,BEV,0.7,1137,True,49.18640063281548,29.589559826906587,36.92555024985116,-12.260850382964314,7.335990422944576,True,False
day,sed,3D,0.3,19961,True,76.5767437999036,77.14190080374229,76.74069078545422,0.16394698555062348,-0.4012100182880687,True,False
day,sed,3D,0.5,19961,True,55.92202002517775,54.75598286987021,54.70953478879631,-1.2124852363814398,-0.04644808107389764,True,False
day,sed,3D,0.7,19961,True,10.628648012932333,12.594213477752811,12.468997048791609,1.8403490358592762,-0.12521642896120255,True,False
day,sed,BEV,0.3,19961,True,79.37261623968328,79.83859234146277,79.31169149599458,-0.06092474368870171,-0.5269008454681909,True,False
day,sed,BEV,0.5,19961,True,73.82603877654316,74.1060258863607,73.64132644713531,-0.18471232940784432,-0.4646994392253845,True,False
day,sed,BEV,0.7,19961,True,49.24993587713042,45.140982188209506,44.588677837914155,-4.661258039216264,-0.5523043502953513,True,False
day,bus,3D,0.3,3603,True,59.33504449739604,56.9292882026023,53.673969965481994,-5.661074531914046,-3.2553182371203064,True,False
day,bus,3D,0.5,3603,True,39.848635146963964,27.719277309777674,26.79560335804865,-13.053031788915316,-0.9236739517290253,True,False
day,bus,3D,0.7,3603,True,8.985154256968915,6.711469281739466,4.621357705285217,-4.3637965516836985,-2.090111576454249,True,False
day,bus,BEV,0.3,3603,True,60.42172390527735,60.21894965556813,56.9836883566341,-3.4380355486432492,-3.2352612989340344,True,False
day,bus,BEV,0.5,3603,True,50.832762371960285,44.76612474412965,41.82002169309907,-9.012740678861213,-2.946103051030576,True,False
day,bus,BEV,0.7,3603,True,26.98115055925645,16.6243848839265,15.57784626999118,-11.403304289265268,-1.0465386139353186,True,False
night,sed,3D,0.3,9652,True,77.27044380207344,70.67299438396955,70.27500089860274,-6.995442903470703,-0.39799348536681123,True,False
night,sed,3D,0.5,9652,True,49.8235924178916,46.58593243169625,46.91352410055849,-2.9100683173331063,0.3275916688622402,True,False
night,sed,3D,0.7,9652,True,13.296827075923032,11.23791429710876,12.17135722782504,-1.1254698480979926,0.9334429307162786,True,False
night,sed,BEV,0.3,9652,True,80.96420961297494,73.91598674452821,73.41996462215255,-7.544244990822392,-0.49602212237566334,True,False
night,sed,BEV,0.5,9652,True,73.35579085691555,66.84370892725146,66.46646617474936,-6.88932468216619,-0.3772427525020987,True,False
night,sed,BEV,0.7,9652,True,49.1043772589919,40.7247944433854,42.25791060345405,-6.846466655537853,1.5331161600686514,True,False
night,bus,3D,0.3,2240,True,67.49583786676513,60.36562791309061,63.82832800611643,-3.6675098606486998,3.4627000930258163,True,False
night,bus,3D,0.5,2240,True,43.709691762220665,36.95414581651178,42.68707979456071,-1.0226119676599552,5.732933978048926,True,False
night,bus,3D,0.7,2240,True,13.366655970211704,11.795749564263,18.197058700645066,4.830402730433361,6.401309136382066,True,False
night,bus,BEV,0.3,2240,True,77.0813387873386,75.85685730060533,78.02941892414427,0.9480801368056717,2.1725616235389396,True,False
night,bus,BEV,0.5,2240,True,64.13279487686596,62.501625521904444,62.27428188776638,-1.8585129890995802,-0.2273436341380659,True,False
night,bus,BEV,0.7,2240,True,35.743545601803575,25.94431296741182,33.63925670895666,-2.104288892846917,7.69494374154484,True,False
urban,sed,3D,0.3,12032,True,75.38831235356375,78.21530346687796,77.95155609097652,2.563243737412776,-0.26374737590143127,True,False
urban,sed,3D,0.5,12032,True,56.26426102733008,57.069269146190074,57.331730212966,1.0674691856359217,0.26246106677592707,True,False
urban,sed,3D,0.7,12032,True,13.754381287300932,14.436119359295468,14.85174631301916,1.0973650257182275,0.41562695372369163,True,False
urban,sed,BEV,0.3,12032,True,78.62051397347163,81.14274190212569,80.78187123797323,2.1613572645016035,-0.3608706641524577,True,False
