method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",university,bus,bev,0.3,0.0
"ASF (local, 11 epochs)",university,bus,bev,0.5,0.0
"ASF (local, 11 epochs)",university,bus,bev,0.7,0.0
"L4DR (local, 11 epochs)",all,sed,3d,0.3,74.4926299849588
"L4DR (local, 11 epochs)",all,sed,3d,0.5,54.28201785796007
"L4DR (local, 11 epochs)",all,sed,3d,0.7,14.083791026916881
"L4DR (local, 11 epochs)",all,sed,bev,0.3,75.13326712463147
"L4DR (local, 11 epochs)",all,sed,bev,0.5,71.59321040467985
"L4DR (local, 11 epochs)",all,sed,bev,0.7,48.20491777751108
"L4DR (local, 11 epochs)",all,bus,3d,0.3,56.57709027556811
"L4DR (local, 11 epochs)",all,bus,3d,0.5,33.39276759664026
"L4DR (local, 11 epochs)",all,bus,3d,0.7,5.562772229084613
"L4DR (local, 11 epochs)",all,bus,bev,0.3,61.45708699672701
"L4DR (local, 11 epochs)",all,bus,bev,0.5,49.860226011649125
"L4DR (local, 11 epochs)",all,bus,bev,0.7,22.49574303214039
"L4DR (local, 11 epochs)",normal,sed,3d,0.3,73.12315995788099
"L4DR (local, 11 epochs)",normal,sed,3d,0.5,52.3266849490095
"L4DR (local, 11 epochs)",normal,sed,3d,0.7,8.874587830378154
"L4DR (local, 11 epochs)",normal,sed,bev,0.3,75.8362702694867
"L4DR (local, 11 epochs)",normal,sed,bev,0.5,69.96275088104876
"L4DR (local, 11 epochs)",normal,sed,bev,0.7,42.7314813235624
"L4DR (local, 11 epochs)",normal,bus,3d,0.3,54.59646059127973
"L4DR (local, 11 epochs)",normal,bus,3d,0.5,32.17903454533253
"L4DR (local, 11 epochs)",normal,bus,3d,0.7,6.104714646992467
"L4DR (local, 11 epochs)",normal,bus,bev,0.3,57.94219723371421
"L4DR (local, 11 epochs)",normal,bus,bev,0.5,44.80816875781525
"L4DR (local, 11 epochs)",normal,bus,bev,0.7,18.077941643106723
"L4DR (local, 11 epochs)",lightsnow,sed,3d,0.3,82.73938534475536
"L4DR (local, 11 epochs)",lightsnow,sed,3d,0.5,59.27579199388789
"L4DR (local, 11 epochs)",lightsnow,sed,3d,0.7,15.415763665526718
"L4DR (local, 11 epochs)",lightsnow,sed,bev,0.3,85.0964196722095
"L4DR (local, 11 epochs)",lightsnow,sed,bev,0.5,82.62442192729492
"L4DR (local, 11 epochs)",lightsnow,sed,bev,0.7,67.68102746473178
"L4DR (local, 11 epochs)",lightsnow,bus,3d,0.3,89.15913842222015
"L4DR (local, 11 epochs)",lightsnow,bus,3d,0.5,68.99576694644297
"L4DR (local, 11 epochs)",lightsnow,bus,3d,0.7,28.04082078858911
"L4DR (local, 11 epochs)",lightsnow,bus,bev,0.3,95.70135896788796
"L4DR (local, 11 epochs)",lightsnow,bus,bev,0.5,87.76838295297625
"L4DR (local, 11 epochs)",lightsnow,bus,bev,0.7,64.61417881830343
"L4DR (local, 11 epochs)",heavysnow,sed,3d,0.3,51.99042949053023
"L4DR (local, 11 epochs)",heavysnow,sed,3d,0.5,38.72302069347808
"L4DR (local, 11 epochs)",heavysnow,sed,3d,0.7,17.28571733726018
"L4DR (local, 11 epochs)",heavysnow,sed,bev,0.3,52.35296904316539
"L4DR (local, 11 epochs)",heavysnow,sed,bev,0.5,52.003138302104304
"L4DR (local, 11 epochs)",heavysnow,sed,bev,0.7,38.085639780898624
"L4DR (local, 11 epochs)",heavysnow,bus,3d,0.3,54.27280033156452
"L4DR (local, 11 epochs)",heavysnow,bus,3d,0.5,17.000840583682763
"L4DR (local, 11 epochs)",heavysnow,bus,3d,0.7,1.8864612347709833
"L4DR (local, 11 epochs)",heavysnow,bus,bev,0.3,65.18123997663696
"L4DR (local, 11 epochs)",heavysnow,bus,bev,0.5,52.30297493968371
"L4DR (local, 11 epochs)",heavysnow,bus,bev,0.7,25.072203422001433
"L4DR (local, 11 epochs)",rain,sed,3d,0.3,76.2725217825918
"L4DR (local, 11 epochs)",rain,sed,3d,0.5,54.94700982952785
"L4DR (local, 11 epochs)",rain,sed,3d,0.7,14.377185917800517
"L4DR (local, 11 epochs)",rain,sed,bev,0.3,79.26236810818811
"L4DR (local, 11 epochs)",rain,sed,bev,0.5,75.2722769677742
"L4DR (local, 11 epochs)",rain,sed,bev,0.7,53.565065218535935
"L4DR (local, 11 epochs)",rain,bus,3d,0.3,7.811864609171068
"L4DR (local, 11 epochs)",rain,bus,3d,0.5,6.595830435005437
"L4DR (local, 11 epochs)",rain,bus,3d,0.7,1.0547132498352012
"L4DR (local, 11 epochs)",rain,bus,bev,0.3,7.811864609171068
"L4DR (local, 11 epochs)",rain,bus,bev,0.5,7.240821024209645
"L4DR (local, 11 epochs)",rain,bus,bev,0.7,5.303529693773596
"L4DR (local, 11 epochs)",sleet,sed,3d,0.3,54.548834754770034
"L4DR (local, 11 epochs)",sleet,sed,3d,0.5,41.21649070082017
"L4DR (local, 11 epochs)",sleet,sed,3d,0.7,15.073435015929576
"L4DR (local, 11 epochs)",sleet,sed,bev,0.3,57.275950157910984
"L4DR (local, 11 epochs)",sleet,sed,bev,0.5,49.80125366036895
"L4DR (local, 11 epochs)",sleet,sed,bev,0.7,39.17986269856119
"L4DR (local, 11 epochs)",sleet,bus,3d,0.3,59.89490993898092
"L4DR (local, 11 epochs)",sleet,bus,3d,0.5,43.049630593197676
"L4DR (local, 11 epochs)",sleet,bus,3d,0.7,5.773106047232323
"L4DR (local, 11 epochs)",sleet,bus,bev,0.3,60.43302398023369
"L4DR (local, 11 epochs)",sleet,bus,bev,0.5,51.76346644203698
"L4DR (local, 11 epochs)",sleet,bus,bev,0.7,18.424051733984246
"L4DR (local, 11 epochs)",overcast,sed,3d,0.3,80.0632799170914
"L4DR (local, 11 epochs)",overcast,sed,3d,0.5,49.236472250222455
"L4DR (local, 11 epochs)",overcast,sed,3d,0.7,4.617385161737026
"L4DR (local, 11 epochs)",overcast,sed,bev,0.3,86.50954292151835
"L4DR (local, 11 epochs)",overcast,sed,bev,0.5,80.55801330058159
"L4DR (local, 11 epochs)",overcast,sed,bev,0.7,41.183642588885114
"L4DR (local, 11 epochs)",overcast,bus,3d,0.3,82.07274780826143
"L4DR (local, 11 epochs)",overcast,bus,3d,0.5,55.89381079400775
"L4DR (local, 11 epochs)",overcast,bus,3d,0.7,8.058931832317505
"L4DR (local, 11 epochs)",overcast,bus,bev,0.3,84.61165001874691
"L4DR (local, 11 epochs)",overcast,bus,bev,0.5,73.9380446242843
"L4DR (local, 11 epochs)",overcast,bus,bev,0.7,36.281601760788405
"L4DR (local, 11 epochs)",fog,sed,3d,0.3,92.32634323970717
"L4DR (local, 11 epochs)",fog,sed,3d,0.5,83.44257236642947
"L4DR (local, 11 epochs)",fog,sed,3d,0.7,49.833384905490284
"L4DR (local, 11 epochs)",fog,sed,bev,0.3,92.52211032075056
"L4DR (local, 11 epochs)",fog,sed,bev,0.5,92.44281728758358
"L4DR (local, 11 epochs)",fog,sed,bev,0.7,82.55275220382406
"L4DR (local, 11 epochs)",fog,bus,3d,0.3,0.0
"L4DR (local, 11 epochs)",fog,bus,3d,0.5,0.0
"L4DR (local, 11 epochs)",fog,bus,3d,0.7,0.0
"L4DR (local, 11 epochs)",fog,bus,bev,0.3,0.0
"L4DR (local, 11 epochs)",fog,bus,bev,0.5,0.0
"L4DR (local, 11 epochs)",fog,bus,bev,0.7,0.0
"L4DR (local, 11 epochs)",day,sed,3d,0.3,73.90206216982824
"L4DR (local, 11 epochs)",day,sed,3d,0.5,55.008187486584184
"L4DR (local, 11 epochs)",day,sed,3d,0.7,14.59648406086918
"L4DR (local, 11 epochs)",day,sed,bev,0.3,74.371358275246
"L4DR (local, 11 epochs)",day,sed,bev,0.5,71.21552155129812
"L4DR (local, 11 epochs)",day,sed,bev,0.7,48.050828421599526
"L4DR (local, 11 epochs)",day,bus,3d,0.3,51.37393714839187
"L4DR (local, 11 epochs)",day,bus,3d,0.5,28.830189865864703
"L4DR (local, 11 epochs)",day,bus,3d,0.7,3.767286989140608
"L4DR (local, 11 epochs)",day,bus,bev,0.3,54.56664972856908
"L4DR (local, 11 epochs)",day,bus,bev,0.5,44.132273930334335
"L4DR (local, 11 epochs)",day,bus,bev,0.7,16.505176522419422
"L4DR (local, 11 epochs)",night,sed,3d,0.3,73.54740076958667
"L4DR (local, 11 epochs)",night,sed,3d,0.5,51.103219291560976
"L4DR (local, 11 epochs)",night,sed,3d,0.7,12.921517038964
"L4DR (local, 11 epochs)",night,sed,bev,0.3,76.65083716163494
"L4DR (local, 11 epochs)",night,sed,bev,0.5,72.36208640343168
"L4DR (local, 11 epochs)",night,sed,bev,0.7,48.55707061357159
"L4DR (local, 11 epochs)",night,bus,3d,0.3,66.42497647228977
"L4DR (local, 11 epochs)",night,bus,3d,0.5,40.896147445022244
"L4DR (local, 11 epochs)",night,bus,3d,0.7,9.105375111716404
"L4DR (local, 11 epochs)",night,bus,bev,0.3,75.80662124710533
"L4DR (local, 11 epochs)",night,bus,bev,0.5,60.607124429483285
"L4DR (local, 11 epochs)",night,bus,bev,0.7,34.144530668595245
"L4DR (local, 11 epochs)",urban,sed,3d,0.3,73.37291723956844
"L4DR (local, 11 epochs)",urban,sed,3d,0.5,54.944593000040655
"L4DR (local, 11 epochs)",urban,sed,3d,0.7,13.575711335876875
"L4DR (local, 11 epochs)",urban,sed,bev,0.3,76.35341201493203
"L4DR (local, 11 epochs)",urban,sed,bev,0.5,72.41973411427102
"L4DR (local, 11 epochs)",urban,sed,bev,0.7,51.21900562757716
"L4DR (local, 11 epochs)",urban,bus,3d,0.3,53.13020136960941
"L4DR (local, 11 epochs)",urban,bus,3d,0.5,17.915561236107077
"L4DR (local, 11 epochs)",urban,bus,3d,0.7,2.391949394738722
"L4DR (local, 11 epochs)",urban,bus,bev,0.3,53.75078022342178
"L4DR (local, 11 epochs)",urban,bus,bev,0.5,52.816232879799244
"L4DR (local, 11 epochs)",urban,bus,bev,0.7,25.89745020004327
"L4DR (local, 11 epochs)",highway,sed,3d,0.3,79.19167693327492
"L4DR (local, 11 epochs)",highway,sed,3d,0.5,55.199594845878096
"L4DR (local, 11 epochs)",highway,sed,3d,0.7,8.737698535080469
"L4DR (local, 11 epochs)",highway,sed,bev,0.3,81.90972562155882
"L4DR (local, 11 epochs)",highway,sed,bev,0.5,78.26596654647172
"L4DR (local, 11 epochs)",highway,sed,bev,0.7,46.21852179975108
"L4DR (local, 11 epochs)",highway,bus,3d,0.3,61.38047184648086
"L4DR (local, 11 epochs)",highway,bus,3d,0.5,34.87562103389155
"L4DR (local, 11 epochs)",highway,bus,3d,0.7,6.9939607164802045
"L4DR (local, 11 epochs)",highway,bus,bev,0.3,66.94816736028653
"L4DR (local, 11 epochs)",highway,bus,bev,0.5,54.40056670584742
"L4DR (local, 11 epochs)",highway,bus,bev,0.7,24.41113229140233
"L4DR (local, 11 epochs)",countryside,sed,3d,0.3,63.50714954121784
"L4DR (local, 11 epochs)",countryside,sed,3d,0.5,31.737569404067788
"L4DR (local, 11 epochs)",countryside,sed,3d,0.7,8.260200702723973
"L4DR (local, 11 epochs)",countryside,sed,bev,0.3,69.51423365905698
"L4DR (local, 11 epochs)",countryside,sed,bev,0.5,59.24396340246236
"L4DR (local, 11 epochs)",countryside,sed,bev,0.7,26.23905831272338
"L4DR (local, 11 epochs)",countryside,bus,3d,0.3,15.008410428931873
"L4DR (local, 11 epochs)",countryside,bus,3d,0.5,5.130361648444072
"L4DR (local, 11 epochs)",countryside,bus,3d,0.7,0.17115960633290542
"L4DR (local, 11 epochs)",countryside,bus,bev,0.3,17.25820016820858
"L4DR (local, 11 epochs)",countryside,bus,bev,0.5,9.918994289761407
"L4DR (local, 11 epochs)",countryside,bus,bev,0.7,2.22507488232777
"L4DR (local, 11 epochs)",alleyway,sed,3d,0.3,60.253071714042264
"L4DR (local, 11 epochs)",alleyway,sed,3d,0.5,38.67960428362571
"L4DR (local, 11 epochs)",alleyway,sed,3d,0.7,9.11346083651206
"L4DR (local, 11 epochs)",alleyway,sed,bev,0.3,60.89032502887104
"L4DR (local, 11 epochs)",alleyway,sed,bev,0.5,57.65137928108486
"L4DR (local, 11 epochs)",alleyway,sed,bev,0.7,35.022778143480906
"L4DR (local, 11 epochs)",alleyway,bus,3d,0.3,18.340154150194802
"L4DR (local, 11 epochs)",alleyway,bus,3d,0.5,9.631228807704586
"L4DR (local, 11 epochs)",alleyway,bus,3d,0.7,1.1657101865136297
"L4DR (local, 11 epochs)",alleyway,bus,bev,0.3,19.99685162480126
"L4DR (local, 11 epochs)",alleyway,bus,bev,0.5,14.542611434115063
"L4DR (local, 11 epochs)",alleyway,bus,bev,0.7,5.968436154949785
"L4DR (local, 11 epochs)",parkinglots,sed,3d,0.3,59.88226869434968
"L4DR (local, 11 epochs)",parkinglots,sed,3d,0.5,46.2986912336508
"L4DR (local, 11 epochs)",parkinglots,sed,3d,0.7,29.748762155827723
"L4DR (local, 11 epochs)",parkinglots,sed,bev,0.3,59.88226869434968
"L4DR (local, 11 epochs)",parkinglots,sed,bev,0.5,51.46869590662414
"L4DR (local, 11 epochs)",parkinglots,sed,bev,0.7,37.36283643689253
"L4DR (local, 11 epochs)",parkinglots,bus,3d,0.3,53.78764567098222
"L4DR (local, 11 epochs)",parkinglots,bus,3d,0.5,39.684275835438896
"L4DR (local, 11 epochs)",parkinglots,bus,3d,0.7,1.7799424303489342
"L4DR (local, 11 epochs)",parkinglots,bus,bev,0.3,54.07378039343919
"L4DR (local, 11 epochs)",parkinglots,bus,bev,0.5,46.85267240521762
"L4DR (local, 11 epochs)",parkinglots,bus,bev,0.7,13.288026388431751
"L4DR (local, 11 epochs)",shoulder,sed,3d,0.3,94.96771118792948
"L4DR (local, 11 epochs)",shoulder,sed,3d,0.5,92.21923416683705
"L4DR (local, 11 epochs)",shoulder,sed,3d,0.7,74.7177802709271
"L4DR (local, 11 epochs)",shoulder,sed,bev,0.3,97.51637998775358
"L4DR (local, 11 epochs)",shoulder,sed,bev,0.5,97.42956655852068
"L4DR (local, 11 epochs)",shoulder,sed,bev,0.7,88.17036626108975
"L4DR (local, 11 epochs)",shoulder,bus,3d,0.3,0.0
"L4DR (local, 11 epochs)",shoulder,bus,3d,0.5,0.0
"L4DR (local, 11 epochs)",shoulder,bus,3d,0.7,0.0
"L4DR (local, 11 epochs)",shoulder,bus,bev,0.3,0.0
"L4DR (local, 11 epochs)",shoulder,bus,bev,0.5,0.0
"L4DR (local, 11 epochs)",shoulder,bus,bev,0.7,0.0
"L4DR (local, 11 epochs)",mountain,sed,3d,0.3,89.28781765399768
"L4DR (local, 11 epochs)",mountain,sed,3d,0.5,73.02254597936822
"L4DR (local, 11 epochs)",mountain,sed,3d,0.7,22.247782502140684
"L4DR (local, 11 epochs)",mountain,sed,bev,0.3,89.56710674243814
"L4DR (local, 11 epochs)",mountain,sed,bev,0.5,89.4897975915223
"L4DR (local, 11 epochs)",mountain,sed,bev,0.7,76.53030544287601
"L4DR (local, 11 epochs)",mountain,bus,3d,0.3,72.73876920960983
"L4DR (local, 11 epochs)",mountain,bus,3d,0.5,59.68341683296412
"L4DR (local, 11 epochs)",mountain,bus,3d,0.7,12.927004057489237
"L4DR (local, 11 epochs)",mountain,bus,bev,0.3,72.73876920960983
"L4DR (local, 11 epochs)",mountain,bus,bev,0.5,68.35944412795823
"L4DR (local, 11 epochs)",mountain,bus,bev,0.7,30.410033823015496
"L4DR (local, 11 epochs)",university,sed,3d,0.3,68.99106677100548
"L4DR (local, 11 epochs)",university,sed,3d,0.5,47.77432846427903
"L4DR (local, 11 epochs)",university,sed,3d,0.7,7.027117376047583
"L4DR (local, 11 epochs)",university,sed,bev,0.3,71.49038188585124
"L4DR (local, 11 epochs)",university,sed,bev,0.5,67.94861107237455
"L4DR (local, 11 epochs)",university,sed,bev,0.7,40.01550400535423
"L4DR (local, 11 epochs)",university,bus,3d,0.3,0.0
"L4DR (local, 11 epochs)",university,bus,3d,0.5,0.0
"L4DR (local, 11 epochs)",university,bus,3d,0.7,0.0
"L4DR (local, 11 epochs)",university,bus,bev,0.3,0.0
"L4DR (local, 11 epochs)",university,bus,bev,0.5,0.0
"L4DR (local, 11 epochs)",university,bus,bev,0.7,0.0
