method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",sleet,sed,bev,0.5,64.47539151771483
"ASF (local, 11 epochs)",sleet,sed,bev,0.7,39.37114092824035
"ASF (local, 11 epochs)",sleet,bus,3d,0.3,50.784690759432614
"ASF (local, 11 epochs)",sleet,bus,3d,0.5,30.287374047732424
"ASF (local, 11 epochs)",sleet,bus,3d,0.7,6.293690283586188
"ASF (local, 11 epochs)",sleet,bus,bev,0.3,54.52130766405651
"ASF (local, 11 epochs)",sleet,bus,bev,0.5,41.51519195008816
"ASF (local, 11 epochs)",sleet,bus,bev,0.7,14.813892344690856
"ASF (local, 11 epochs)",overcast,sed,3d,0.3,82.1483720659337
"ASF (local, 11 epochs)",overcast,sed,3d,0.5,57.16106301492404
"ASF (local, 11 epochs)",overcast,sed,3d,0.7,6.956697247520031
"ASF (local, 11 epochs)",overcast,sed,bev,0.3,89.08616305110986
"ASF (local, 11 epochs)",overcast,sed,bev,0.5,81.2540678739485
"ASF (local, 11 epochs)",overcast,sed,bev,0.7,45.22636158935172
"ASF (local, 11 epochs)",overcast,bus,3d,0.3,65.31096258962509
"ASF (local, 11 epochs)",overcast,bus,3d,0.5,46.68320778018338
"ASF (local, 11 epochs)",overcast,bus,3d,0.7,8.01389841207649
"ASF (local, 11 epochs)",overcast,bus,bev,0.3,69.13183672643086
"ASF (local, 11 epochs)",overcast,bus,bev,0.5,54.10993867829092
"ASF (local, 11 epochs)",overcast,bus,bev,0.7,18.148728117385467
"ASF (local, 11 epochs)",fog,sed,3d,0.3,92.0877228434696
"ASF (local, 11 epochs)",fog,sed,3d,0.5,79.8858922870524
"ASF (local, 11 epochs)",fog,sed,3d,0.7,39.419604300186684
"ASF (local, 11 epochs)",fog,sed,bev,0.3,94.83753967819452
"ASF (local, 11 epochs)",fog,sed,bev,0.5,94.68919825113366
"ASF (local, 11 epochs)",fog,sed,bev,0.7,78.26395764080128
"ASF (local, 11 epochs)",fog,bus,3d,0.3,0.0
"ASF (local, 11 epochs)",fog,bus,3d,0.5,0.0
"ASF (local, 11 epochs)",fog,bus,3d,0.7,0.0
"ASF (local, 11 epochs)",fog,bus,bev,0.3,0.0
"ASF (local, 11 epochs)",fog,bus,bev,0.5,0.0
"ASF (local, 11 epochs)",fog,bus,bev,0.7,0.0
"ASF (local, 11 epochs)",day,sed,3d,0.3,76.68171495258453
"ASF (local, 11 epochs)",day,sed,3d,0.5,54.156333431763095
"ASF (local, 11 epochs)",day,sed,3d,0.7,11.683249449190162
"ASF (local, 11 epochs)",day,sed,bev,0.3,79.35671389389049
"ASF (local, 11 epochs)",day,sed,bev,0.5,73.6229633856763
"ASF (local, 11 epochs)",day,sed,bev,0.7,44.038728220365925
"ASF (local, 11 epochs)",day,bus,3d,0.3,53.03166568140073
"ASF (local, 11 epochs)",day,bus,3d,0.5,24.604520907511894
"ASF (local, 11 epochs)",day,bus,3d,0.7,5.893109498984347
"ASF (local, 11 epochs)",day,bus,bev,0.3,56.91523497710723
"ASF (local, 11 epochs)",day,bus,bev,0.5,40.94117900908485
"ASF (local, 11 epochs)",day,bus,bev,0.7,13.659844767462587
"ASF (local, 11 epochs)",night,sed,3d,0.3,69.99736529648956
